Customer_ID,Original_Name
Customer_001,George_W_Bush
Customer_002,Colin_Powell
Customer_003,Tony_Blair
Customer_004,Donald_Rumsfeld
Customer_005,Gerhard_Schroeder
Customer_006,Ariel_Sharon
Customer_007,Hugo_Chavez
Customer_008,Jean_Chretien
Customer_009,Junichiro_Koizumi
Customer_010,John_Ashcroft
Customer_011,Jacques_Chirac
Customer_012,Serena_Williams
Customer_013,Vladimir_Putin
Customer_014,Luiz_Inacio_Lula_da_Silva
Customer_015,Gloria_Macapagal_Arroyo
Customer_016,Arnold_Schwarzenegger
Customer_017,Jennifer_Capriati
Customer_018,Laura_Bush
Customer_019,Lleyton_Hewitt
Customer_020,Alejandro_Toledo
Customer_021,Hans_Blix
Customer_022,Vicente_Fox
Customer_023,Nestor_Kirchner
Customer_024,Andre_Agassi
Customer_025,Alvaro_Uribe
Customer_026,Megawati_Sukarnoputri
Customer_027,Silvio_Berlusconi
Customer_028,Tom_Ridge
Customer_029,Kofi_Annan
Customer_030,Roh_Moo-hyun
